     2.344   6090.374 # matmult_lib
     9.375  27760.452 # matmult_lib
    21.094  44366.032 # matmult_lib
    37.500  59086.836 # matmult_lib
    58.594  59952.781 # matmult_lib
   234.375 100470.559 # matmult_lib
   937.500 171691.221 # matmult_lib
  2109.375 218986.116 # matmult_lib
  3750.000 253247.307 # matmult_lib
  5859.375 285243.742 # matmult_lib
 23437.500 372653.043 # matmult_lib
 93750.000 387749.203 # matmult_lib
210937.500 416862.699 # matmult_lib
375000.000 435619.393 # matmult_lib
