12	3456	0.0874877	4.19941e-05	0.0822973	0.000108761	0.0822973
22	11616	0.284158	0.000136396	0.085164	0.000117004	0.085164
32	24576	0.597138	0.000286626	0.0857423	0.000132238	0.0857423
42	42336	1.00984	0.000484723	0.0873405	0.00012469	0.0873405
52	64896	1.56773	0.000752508	0.0862396	0.000131876	0.0862396
102	249696	6.01367	0.00288656	0.086503	0.000143753	0.086503
202	979296	23.3509	0.0112084	0.0873715	0.000225129	0.0873715
302	2.1889e+06	50.7866	0.0243776	0.0897914	0.000355914	0.0897914
402	3.8785e+06	89.5517	0.0429848	0.0902295	0.000537243	0.0902295
502	6.0481e+06	135.865	0.0652153	0.0927404	0.000950912	0.0927404
1002	2.40961e+07	329.94	0.158371	0.15215	0.00270772	0.15215
2002	9.61921e+07	499.835	0.239921	0.400933	0.0104389	0.400933
3002	2.16288e+08	567.507	0.272403	0.793999	0.023257	0.793999
4002	3.84384e+08	597.016	0.286568	1.34134	0.0411834	1.34134
