12	3456	0.0411102	2.84154e-05	0.121624	8.06061e-05	0.121624
22	11616	0.063674	3.69818e-05	0.3141	6.95111e-05	0.3141
32	24576	0.0875688	4.78242e-05	0.513882	6.8186e-05	0.513882
42	42336	0.0720677	3.81382e-05	1.11007	0.000102275	1.11007
52	64896	0.0949677	4.93042e-05	1.31624	9.53791e-05	1.31624
102	249696	0.0768333	3.837e-05	6.50759	0.000101489	6.50759
202	979296	0.0778321	3.81103e-05	25.6963	0.000180378	25.6963
302	2.1889e+06	0.0781503	3.8014e-05	57.5814	0.00030627	57.5814
402	3.8785e+06	0.0782924	3.79571e-05	102.181	0.000491355	102.181
502	6.0481e+06	0.0783072	3.78888e-05	159.628	0.000736334	159.628
1002	2.40961e+07	0.0610255	2.94095e-05	819.33	0.00265335	819.33
2002	9.61921e+07	0.061175	2.94228e-05	3269.31	0.0103339	3269.31
3002	2.16288e+08	0.0591321	2.84213e-05	7610.08	0.0231297	7610.08
4002	3.84384e+08	0.0520511	2.50095e-05	15369.5	0.0410098	15369.5
